block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time
2,1,1,left_cong,1,cong,green,green,1,0.5228279000002658
2,2,0,right_cong,1,cong,red,red,1,0.8362688000052003
2,3,0,right_cong,1,cong,red,red,1,1.5106838999927277
2,4,0,right_cong,1,cong,red,red,1,0.9410155999939889
2,5,1,left_cong,1,cong,green,,0,
2,6,1,left_cong,1,cong,green,green,1,0.8824708000029204
2,7,0,right_cong,1,cong,red,red,1,0.9525789000035729
2,8,0,right_cong,1,cong,red,,0,
2,9,1,left_cong,1,cong,green,green,1,1.1372380999964662
2,10,1,left_cong,1,cong,green,,0,
2,11,0,right_cong,1,cong,red,,0,
2,12,1,left_cong,1,cong,green,green,1,0.7894091000052867
2,13,2,right_incg,0,incg,green,,0,
2,14,3,left_incg,0,incg,red,,0,
2,15,3,left_incg,0,incg,red,green,0,0.9683405999967363
2,16,3,left_incg,0,incg,red,,0,
2,17,2,right_incg,0,incg,green,,0,
2,18,2,right_incg,0,incg,green,green,1,1.1927109000098426
2,19,3,left_incg,0,incg,red,red,1,0.8311648000089917
2,20,2,right_incg,0,incg,green,,0,
2,21,3,left_incg,0,incg,red,red,1,0.963536600000225
2,22,1,left_cong,1,cong,green,,0,
2,23,0,right_cong,1,cong,red,,0,
2,24,1,left_cong,1,cong,green,,0,
2,25,2,right_incg,0,incg,green,,0,
2,26,2,right_incg,0,incg,green,green,1,1.1752681999932975
2,27,2,right_incg,0,incg,green,,0,
2,28,0,right_cong,1,cong,red,,0,
2,29,0,right_cong,1,cong,red,green,0,0.48317810001026373
2,30,1,left_cong,1,cong,green,red,0,0.8679338000074495
2,31,0,right_cong,1,cong,red,,0,
2,32,1,left_cong,1,cong,green,,0,
2,33,0,right_cong,1,cong,red,,0,
2,34,3,left_incg,0,incg,red,,0,
2,35,2,right_incg,0,incg,green,,0,
2,36,2,right_incg,0,incg,green,green,1,0.516627500008326
2,37,3,left_incg,0,incg,red,,0,
2,38,3,left_incg,0,incg,red,red,1,1.5699605999980122
2,39,3,left_incg,0,incg,red,,0,
2,40,2,right_incg,0,incg,green,,0,
2,41,3,left_incg,0,incg,red,,0,
2,42,2,right_incg,0,incg,green,green,1,1.086184100000537
2,43,2,right_incg,0,incg,green,,0,
2,44,3,left_incg,0,incg,red,red,1,0.7335393000103068
2,45,3,left_incg,0,incg,red,,0,
2,46,0,right_cong,1,cong,red,,0,
2,47,0,right_cong,1,cong,red,red,1,1.0453546000062488
2,48,0,right_cong,1,cong,red,red,1,1.255161599998246
2,49,1,left_cong,1,cong,green,,0,
2,50,0,right_cong,1,cong,red,red,1,0.4077519999991637
2,51,1,left_cong,1,cong,green,,0,
2,52,1,left_cong,1,cong,green,green,1,0.5063292999984697
2,53,0,right_cong,1,cong,red,red,1,1.0574981999961892
2,54,0,right_cong,1,cong,red,,0,
2,55,2,right_incg,0,incg,green,,0,
2,56,2,right_incg,0,incg,green,green,1,1.4886598000011873
2,57,2,right_incg,0,incg,green,green,1,0.552704999994603
2,58,2,right_incg,0,incg,green,,0,
2,59,3,left_incg,0,incg,red,red,1,1.2308619000104954
2,60,2,right_incg,0,incg,green,green,1,0.7949878000072204
