block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,0,right_cong,1,cong,red,red,1,1.0294,1.0482
1,2,1,left_cong,1,cong,green,green,1,0.7238,0.728
1,3,1,left_cong,1,cong,green,green,1,0.5931,0.5972
1,4,0,right_cong,1,cong,red,red,1,0.9041,0.9088
1,5,1,left_cong,1,cong,green,green,1,1.0719,1.0764
1,6,0,right_cong,1,cong,red,red,1,1.0832,1.0872
1,7,1,left_cong,1,cong,green,green,1,1.9424,1.9475
1,8,0,right_cong,1,cong,red,red,1,0.845,0.8506
1,9,0,right_cong,1,cong,red,red,1,0.791,0.7943
1,10,0,right_cong,1,cong,red,red,1,1.0995,1.1042
1,11,1,left_cong,1,cong,green,green,1,1.1237,1.1289
1,12,0,right_cong,1,cong,red,red,1,0.9017,0.9069
