block,trial,trialtype,trialtype_string,cuetype,cuetype_string,correct_key,key_pressed,is_resp_corr,reaction_time,reaction_time_vpixx
1,1,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,4,1,left_cong,1,cong,green,,0,,
1,5,0,right_cong,1,cong,red,,0,,
1,6,3,left_incg,0,incg,red,,0,,
1,7,2,right_incg,0,incg,green,,0,,
1,8,2,right_incg,0,incg,green,,0,,
1,9,3,left_incg,0,incg,red,,0,,
1,10,2,right_incg,0,incg,green,,0,,
1,11,3,left_incg,0,incg,red,,0,,
1,12,2,right_incg,0,incg,green,,0,,
1,13,3,left_incg,0,incg,red,,0,,
1,14,2,right_incg,0,incg,green,,0,,
1,15,3,left_incg,0,incg,red,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
1,2,1,left_cong,1,cong,green,,0,,
1,3,1,left_cong,1,cong,green,,0,,
1,1,1,left_cong,1,cong,green,,0,,
